fold,stress_seed,missingness_fraction,added_train_cells,added_valid_cells,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
2,0,0.1,191,46,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9979166666666666,0.9988095238095238,24,0,1,39,0.10548262500378769
2,0,0.2,382,93,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002428339939797297
2,0,0.2,382,93,qsvc,0.921875,0.95,0.875,0.926829268292683,0.9382716049382716,0.990625,0.9949534161490683,21,3,2,38,0.13221799999882933
2,1,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00019816600251942873
2,1,0.0,0,0,qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.10228870800347067
2,1,0.05,96,23,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024362500698771328
2,1,0.05,96,23,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.1349852080020355
2,1,0.1,191,46,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025224999990314245
2,1,0.1,191,46,qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.11698666700976901
2,1,0.2,382,93,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9994791666666667,0.9993902439024392,24,0,2,38,0.00024449999909847975
2,1,0.2,382,93,qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9776041666666667,0.9892815614617941,24,0,4,36,0.14092208301008213
2,2,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002027080045081675
2,2,0.0,0,0,qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.10085116700793151
2,2,0.05,96,23,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9994791666666667,0.9993902439024392,24,0,1,39,0.0002265840012114495
2,2,0.05,96,23,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9994791666666667,0.9993902439024392,24,0,1,39,0.13237237501016352
2,2,0.1,191,46,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002307090035174042
